close,time,high,low,open
1876.97,2025-04-01 17:30:00,1879.09,1876.6,1878.32
1874.38,2025-04-01 17:31:00,1877.64,1874.31,1877.12
1871.45,2025-04-01 17:32:00,1874.57,1871.25,1874.57
1871.6,2025-04-01 17:33:00,1872.35,1869.8,1871.03
1873.6,2025-04-01 17:34:00,1874.15,1871.54,1872.48
1874.24,2025-04-01 17:35:00,1874.76,1871.92,1874.32
1877.84,2025-04-01 17:36:00,1877.92,1874.64,1874.79
1878.35,2025-04-01 17:37:00,1878.48,1875.8,1877.37
1879.04,2025-04-01 17:38:00,1879.33,1877.6,1878.41
1874.92,2025-04-01 17:39:00,1878.61,1874.92,1878.4
1872.76,2025-04-01 17:40:00,1875.48,1871.14,1875.48
1871.07,2025-04-01 17:41:00,1873.1,1868.77,1872.63
1874.06,2025-04-01 17:42:00,1874.21,1869.45,1871.2
1875.51,2025-04-01 17:43:00,1877.12,1873.73,1873.84
1879.8,2025-04-01 17:44:00,1880.09,1875.63,1875.63
1882.47,2025-04-01 17:45:00,1882.99,1879.86,1879.86
1884.28,2025-04-01 17:46:00,1885.38,1881.63,1881.7
1885.56,2025-04-01 17:47:00,1887.24,1885.01,1885.5
1887.57,2025-04-01 17:48:00,1887.67,1885.7,1885.7
1887.41,2025-04-01 17:49:00,1889.83,1887.41,1888.39
1884.67,2025-04-01 17:50:00,1887.0,1883.15,1886.83
1885.76,2025-04-01 17:51:00,1886.71,1883.66,1884.82
1884.26,2025-04-01 17:52:00,1885.77,1883.33,1885.77
1887.37,2025-04-01 17:53:00,1887.37,1884.58,1884.58
1889.65,2025-04-01 17:54:00,1891.0,1887.01,1887.01
1891.11,2025-04-01 17:55:00,1892.68,1889.44,1889.44
1891.62,2025-04-01 17:56:00,1891.87,1889.97,1890.35
1885.77,2025-04-01 17:57:00,1891.05,1885.77,1890.98
1882.72,2025-04-01 17:58:00,1885.78,1881.29,1885.62
1882.72,2025-04-01 17:59:00,1884.65,1881.93,1883.14
1885.67,2025-04-01 18:00:00,1886.47,1882.8,1883.39
1886.21,2025-04-01 18:01:00,1886.7,1883.94,1885.28
1888.13,2025-04-01 18:02:00,1888.29,1886.13,1886.64
1887.91,2025-04-01 18:03:00,1889.72,1886.64,1887.82
1890.03,2025-04-01 18:04:00,1891.28,1888.47,1888.47
1888.69,2025-04-01 18:05:00,1890.75,1887.36,1889.7
1886.48,2025-04-01 18:06:00,1889.52,1886.48,1887.36
1881.76,2025-04-01 18:07:00,1886.92,1881.76,1886.01
1883.51,2025-04-01 18:08:00,1883.92,1880.69,1881.47
1880.46,2025-04-01 18:09:00,1884.37,1880.46,1883.63
1887.4,2025-04-01 18:10:00,1887.4,1880.35,1880.35
1888.81,2025-04-01 18:11:00,1889.94,1887.83,1887.83
1888.07,2025-04-01 18:12:00,1890.64,1887.64,1888.86
1887.82,2025-04-01 18:13:00,1891.3,1887.41,1887.49
1886.26,2025-04-01 18:14:00,1889.31,1886.26,1887.76
1887.0,2025-04-01 18:15:00,1889.16,1885.7,1886.03
1888.61,2025-04-01 18:16:00,1891.36,1887.4,1887.98
1887.06,2025-04-01 18:17:00,1889.25,1885.75,1889.17
1890.63,2025-04-01 18:18:00,1890.63,1886.99,1887.29
1898.15,2025-04-01 18:19:00,1898.15,1890.32,1890.88
1898.82,2025-04-01 18:20:00,1900.63,1898.61,1898.86
1895.81,2025-04-01 18:21:00,1898.93,1895.04,1898.85
1896.26,2025-04-01 18:22:00,1898.46,1895.26,1896.11
1892.46,2025-04-01 18:23:00,1897.4,1891.65,1896.54
1892.38,2025-04-01 18:24:00,1893.37,1890.61,1891.63
1887.0,2025-04-01 18:25:00,1892.17,1886.82,1892.12
1884.98,2025-04-01 18:26:00,1888.05,1884.98,1886.05
1887.58,2025-04-01 18:27:00,1887.58,1883.32,1884.69
1888.88,2025-04-01 18:28:00,1890.03,1886.04,1887.22
1888.77,2025-04-01 18:29:00,1889.76,1887.89,1889.57
1892.71,2025-04-01 18:30:00,1892.83,1888.23,1889.42
1893.32,2025-04-01 18:31:00,1893.43,1891.24,1892.53
1894.05,2025-04-01 18:32:00,1894.43,1892.04,1893.39
1889.94,2025-04-01 18:33:00,1894.99,1889.94,1894.86
1889.27,2025-04-01 18:34:00,1889.88,1887.53,1889.88
1886.43,2025-04-01 18:35:00,1888.59,1885.52,1888.44
1884.55,2025-04-01 18:36:00,1888.4,1884.32,1887.06
1889.81,2025-04-01 18:37:00,1889.81,1884.63,1884.63
1891.14,2025-04-01 18:38:00,1892.63,1890.12,1890.4
1891.41,2025-04-01 18:39:00,1891.85,1888.83,1890.0
1888.12,2025-04-01 18:40:00,1892.8,1888.12,1891.72
1883.29,2025-04-01 18:41:00,1887.6,1882.87,1887.6
1880.82,2025-04-01 18:42:00,1883.14,1878.69,1883.14
1882.01,2025-04-01 18:43:00,1882.86,1879.53,1881.09
1880.63,2025-04-01 18:44:00,1881.93,1879.26,1881.93
1881.03,2025-04-01 18:45:00,1881.65,1879.73,1880.82
1883.07,2025-04-01 18:46:00,1883.66,1881.3,1881.37
1881.39,2025-04-01 18:47:00,1883.62,1881.12,1882.68
1877.2,2025-04-01 18:48:00,1881.26,1877.2,1881.26
1882.75,2025-04-01 18:49:00,1882.75,1877.09,1877.64
1883.56,2025-04-01 18:50:00,1885.51,1882.85,1882.85
1879.96,2025-04-01 18:51:00,1883.69,1879.41,1883.69
1877.75,2025-04-01 18:52:00,1881.42,1876.41,1879.94
1880.34,2025-04-01 18:53:00,1880.45,1877.31,1878.48
1884.86,2025-04-01 18:54:00,1885.15,1880.44,1880.44
1883.38,2025-04-01 18:55:00,1887.09,1882.26,1885.07
1882.56,2025-04-01 18:56:00,1884.56,1881.98,1883.96
1885.61,2025-04-01 18:57:00,1885.7,1883.52,1883.54
1887.45,2025-04-01 18:58:00,1887.45,1884.86,1886.2
1891.59,2025-04-01 18:59:00,1892.1,1886.43,1887.36
1892.24,2025-04-01 19:00:00,1892.87,1890.59,1891.85
1889.53,2025-04-01 19:01:00,1893.48,1889.27,1892.77
1887.89,2025-04-01 19:02:00,1889.48,1885.73,1889.35
1887.58,2025-04-01 19:03:00,1890.82,1886.75,1887.89
1886.3,2025-04-01 19:04:00,1888.95,1885.44,1887.35
1882.87,2025-04-01 19:05:00,1886.68,1882.87,1886.03
1885.03,2025-04-01 19:06:00,1885.09,1880.72,1883.08
1889.23,2025-04-01 19:07:00,1889.23,1884.29,1885.16
1893.14,2025-04-01 19:08:00,1893.14,1888.43,1889.12
1889.22,2025-04-01 19:09:00,1892.98,1889.22,1892.57
1890.71,2025-04-01 19:10:00,1891.44,1888.15,1889.11
1892.17,2025-04-01 19:11:00,1892.92,1889.6,1890.75
1886.35,2025-04-01 19:12:00,1892.01,1885.0,1892.01
1887.01,2025-04-01 19:13:00,1887.63,1885.13,1886.22
1888.46,2025-04-01 19:14:00,1889.13,1885.68,1886.95
1886.44,2025-04-01 19:15:00,1889.64,1886.44,1887.53
1888.45,2025-04-01 19:16:00,1888.45,1885.47,1885.83
1886.67,2025-04-01 19:17:00,1888.88,1886.27,1888.88
1889.47,2025-04-01 19:18:00,1889.71,1886.42,1886.42
1889.92,2025-04-01 19:19:00,1891.22,1888.91,1889.14
1890.23,2025-04-01 19:20:00,1891.75,1888.93,1889.95
1889.66,2025-04-01 19:21:00,1892.95,1887.76,1890.71
1888.84,2025-04-01 19:22:00,1890.31,1887.76,1889.86
1888.17,2025-04-01 19:23:00,1890.81,1887.41,1889.22
1894.72,2025-04-01 19:24:00,1894.73,1888.86,1888.92
1893.73,2025-04-01 19:25:00,1897.19,1893.73,1895.44
1893.27,2025-04-01 19:26:00,1895.83,1892.35,1894.29
1891.9,2025-04-01 19:27:00,1895.65,1891.9,1892.81
1888.58,2025-04-01 19:28:00,1891.96,1888.54,1891.78
1893.09,2025-04-01 19:29:00,1893.09,1888.84,1888.84
1892.7,2025-04-01 19:30:00,1893.8,1891.1,1892.78
1896.29,2025-04-01 19:31:00,1896.61,1892.94,1892.94
1894.65,2025-04-01 19:32:00,1896.11,1893.07,1895.77
1897.6,2025-04-01 19:33:00,1898.02,1893.37,1893.42
1896.03,2025-04-01 19:34:00,1899.23,1896.03,1898.16
1899.36,2025-04-01 19:35:00,1899.36,1896.44,1896.79
1901.16,2025-04-01 19:36:00,1901.16,1898.61,1899.15
1906.48,2025-04-01 19:37:00,1906.48,1901.25,1901.25
1901.61,2025-04-01 19:38:00,1906.74,1901.61,1906.74
1901.62,2025-04-01 19:39:00,1903.83,1900.63,1902.45
1896.92,2025-04-01 19:40:00,1901.4,1895.22,1901.4
1896.85,2025-04-01 19:41:00,1899.03,1896.85,1897.89
1895.19,2025-04-01 19:42:00,1897.73,1894.67,1896.6
1898.25,2025-04-01 19:43:00,1898.62,1894.52,1895.34
1900.4,2025-04-01 19:44:00,1901.95,1898.02,1898.02
1900.25,2025-04-01 19:45:00,1903.84,1900.1,1900.96
1902.24,2025-04-01 19:46:00,1902.94,1900.91,1901.0
1902.11,2025-04-01 19:47:00,1902.33,1899.98,1902.2
1904.44,2025-04-01 19:48:00,1904.44,1900.87,1902.09
1903.82,2025-04-01 19:49:00,1904.52,1902.24,1904.52
1904.68,2025-04-01 19:50:00,1905.35,1902.7,1904.1
1904.24,2025-04-01 19:51:00,1906.78,1904.24,1905.09
1904.46,2025-04-01 19:52:00,1905.55,1901.62,1904.52
1905.93,2025-04-01 19:53:00,1906.46,1904.24,1904.24
